"trial","ref_position","var_area","response","correct","rt"
1,"L",10.6918527956586,"L",FALSE,2.13599991798401
2,"L",12.9931247271597,"L",FALSE,1.3899998664856
3,"R",8.90548186330125,"R",TRUE,4.40100002288818
4,"R",13.9880207567476,"R",FALSE,2.35599994659424
5,"L",8.67307902290486,"L",TRUE,0.384999990463257
6,"L",9.06620038161054,"R",TRUE,4.64800000190735
7,"R",14.9494618007448,"R",FALSE,2.00699996948242
8,"L",10.240309906425,"R",TRUE,2.2960000038147
9,"R",10.4966762631666,"R",FALSE,1.0770001411438
10,"L",13.708373692818,"R",TRUE,1.28599977493286
11,"R",13.8969472534955,"L",TRUE,0.839999914169312
12,"L",11.3686118451878,"L",FALSE,1.1399998664856
13,"R",9.60509550990537,"R",FALSE,1.08399987220764
14,"R",13.7600483829156,"R",FALSE,0.289999961853027
15,"R",8.43278100411408,"L",FALSE,1.18900012969971
16,"L",14.8232015948743,"L",FALSE,0.959000110626221
17,"L",10.3496137307957,"L",FALSE,1.08599996566772
18,"R",12.8054548660293,"R",FALSE,1.30699992179871
19,"R",8.32417742954567,"R",TRUE,1.1729998588562
20,"R",11.6006251648068,"L",TRUE,1.18600010871887
21,"R",10.5610976347234,"L",TRUE,0.988999843597412
22,"L",12.6961078564636,"L",FALSE,1.02600002288818
23,"R",10.1475440592039,"R",FALSE,0.855000019073486
24,"L",8.11559547227807,"L",TRUE,0.953999996185303
25,"L",14.8838532299269,"R",TRUE,1.11700010299683
26,"L",9.43674785434268,"L",FALSE,1.19300007820129
27,"R",11.1343733202666,"R",FALSE,1.05800008773804
28,"L",10.4391492530704,"R",TRUE,1.27300000190735
